,Links,Prices,Location,Publication date
42,https://bina.az/items/2758811,977 500AZN,"Bakı şəhəri, Kənar Dairəvi yol 10",Dünən 10:42 
43,https://bina.az/items/2645256,209 000AZN,"Bakı şəhəri, Azadlıq pr.",14 Aprel 2022 
44,https://bina.az/items/2645256,209 000AZN,"Bakı şəhəri, Azadlıq pr.",14 Aprel 2022 
45,https://bina.az/items/2680959,115 000AZN,"Bakı şəhəri, Elşən Süleymanov 137A ",26 Aprel 2022 
46,https://bina.az/items/2680959,115 000AZN,"Bakı şəhəri, Elşən Süleymanov 137A ",26 Aprel 2022 
47,https://bina.az/items/2741598,350 000AZN,"Bakı şəhəri, Akademik Həsən Əliyev küç",22 Aprel 2022 
48,https://bina.az/items/2741598,350 000AZN,"Bakı şəhəri, Akademik Həsən Əliyev küç",22 Aprel 2022 
49,https://bina.az/items/2717886,450 000AZN,"Bakı şəhəri, Mərdəkan qəsəbəsi",23 Aprel 2022 
50,https://bina.az/items/2717886,450 000AZN,"Bakı şəhəri, Mərdəkan qəsəbəsi",23 Aprel 2022 
51,https://bina.az/items/2728900,479 000AZN,"Bakı şəhəri, Qarabağ Atları meydanı",Bugün 12:55 
52,https://bina.az/items/2743680,269 000AZN,"Bakı şəhəri, Natiq Əliyev 3",27 Aprel 2022 
53,https://bina.az/items/2619504,370 000AZN,"Bakı şəhəri, Mərdəkan qəs.",27 Aprel 2022 
54,https://bina.az/items/2619504,370 000AZN,"Bakı şəhəri, Mərdəkan qəs.",27 Aprel 2022 
55,https://bina.az/items/2625410,635 000AZN,"Bakı şəhəri, Natiq Əliyev küç 10",28 Aprel 2022 
56,https://bina.az/items/2745414,334 900AZN,"Bakı şəhəri,  Nəcəfqulu Rəfiyev 25",28 Aprel 2022 
57,https://bina.az/items/2745414,334 900AZN,"Bakı şəhəri,  Nəcəfqulu Rəfiyev 25",28 Aprel 2022 
58,https://bina.az/items/2746902,75 000AZN,"Bakı şəhəri, Məmməd Seid Ordubadi küç.",Bugün 22:01 
59,https://bina.az/items/2746902,75 000AZN,"Bakı şəhəri, Məmməd Seid Ordubadi küç.",Bugün 22:01 
60,https://bina.az/items/2746902,75 000AZN,"Bakı şəhəri, Məmməd Seid Ordubadi küç.",Bugün 22:01 
61,https://bina.az/items/2762766,110 000AZN,"Bakı şəhəri, Gəncə prospekti",Bugün 22:01 
62,https://bina.az/items/2762766,110 000AZN,"Bakı şəhəri, Gəncə prospekti",Bugün 22:01 
63,https://bina.az/items/2762765,310 000AZN,"Bakı şəhəri, Həsən Əliyev küç.",Bugün 22:00 
64,https://bina.az/items/2762765,310 000AZN,"Bakı şəhəri, Həsən Əliyev küç.",Bugün 22:00 
65,https://bina.az/items/2636725,130 000AZN,"Bakı şəhəri, Mircəlal küçəsi",Bugün 22:00 
66,https://bina.az/items/2636725,130 000AZN,"Bakı şəhəri, Mircəlal küçəsi",Bugün 22:00 
67,https://bina.az/items/2636725,130 000AZN,"Bakı şəhəri, Mircəlal küçəsi",Bugün 22:00 
68,https://bina.az/items/2720005,970 000AZN,"Bakı şəhəri,  Nobel prospekti",Bugün 22:00 
69,https://bina.az/items/2720005,970 000AZN,"Bakı şəhəri,  Nobel prospekti",Bugün 22:00 
70,https://bina.az/items/2762764,150 000AZN,"Bakı şəhəri, Vaqif küç. 10",Bugün 22:00 
71,https://bina.az/items/2762764,150 000AZN,"Bakı şəhəri, Vaqif küç. 10",Bugün 22:00 
72,https://bina.az/items/2721823,78 000AZN,"Bakı şəhəri, Əsəd Əhmədov küçəsi ",Bugün 22:00 
73,https://bina.az/items/2721823,78 000AZN,"Bakı şəhəri, Əsəd Əhmədov küçəsi ",Bugün 22:00 
74,https://bina.az/items/2721823,78 000AZN,"Bakı şəhəri, Əsəd Əhmədov küçəsi ",Bugün 22:00 
75,https://bina.az/items/2762763,65 000AZN,"Bakı şəhəri, Məhəmməd Xiyabani küç.",Bugün 22:00 
76,https://bina.az/items/2762763,65 000AZN,"Bakı şəhəri, Məhəmməd Xiyabani küç.",Bugün 22:00 
